Year,Marijuana,Alcohol,Tobacco,Lottery,Gambling
2018,"$263,766,809","$46,671,281","$193,880,659","$140,700,000","$124,714,406"
2017,"$223,465,054","$45,671,281","$199,998,395","$133,500,000","$117,217,775"
2016,"$156,701,018","$44,116,397","$201,209,069","$143,600,000","$116,993,800"
2015,"$102,395,175","$42,074,458","$197,016,599","$128,000,000","$110,251,037"
,,,,,
,,,,,
,,,,,
sources:,,,,,
https://www.colorado.gov/pacific/sites/default/files/2017_Annual_Report.pdf,,,,,
https://www.colorado.gov/pacific/sites/default/files/2018_Annual_Report.pdf,,,,,
