Original_File_Name,Date,County,Med_County_Sales,Rec_County_Sales
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Adams,683098,1
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Alamosa,1,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Arapahoe,1188232,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Archuleta,1,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Boulder,3417873,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Chaffee,83714,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Clear Creek,143736,459640
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Costilla,1,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Denver,15351083,8482593
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Eagle,203060,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,El Paso,4923633,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Fremont,134388,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Garfield,396086,1
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Gilpin,28798,197379
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Grand,1,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Gunnison,36244,1
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Jefferson,1979386,853675
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Lake,0,1
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,La Plata,523193,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Larimer,964948,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Mesa,1,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Moffat,1,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Montezuma,100634,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Montrose,1,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Ouray,1,1
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Park,1,1
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Pitkin,194865,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Pueblo,419894,1
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Routt,239509,1
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,San Miguel,164384,338934
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Sedgwick,1,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Summit,271441,1274208
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Teller,1,0
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Weld,657150,1
0114_MarijuanaSalesReport PUBLISH.xlsx,2014-01-31,Non-Reported,436371,2415784
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Adams,454940,1
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Alamosa,1,0
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Arapahoe,1210155,0
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Archuleta,1,0
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Boulder,3345413,1
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Chaffee,1,0
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Clear Creek,111164,445976
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Costilla,1,0
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Denver,14680476,8349069
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Eagle,185360,0
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,El Paso,5116438,0
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Fremont,215839,0
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Garfield,373432,1
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Gilpin,32325,113337
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Grand,1,0
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Gunnison,1,1
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Jefferson,2044484,880367
