Link_to_Original_File,Original_File_Name,State,County,Latitude,Longitude,Year,County_Population,Med_County_Sales,Rec_County_Sales,med_sales_per_citizen,rec_sales_per_citizen
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1214_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Adams,39.874325,-104.331872,2014,479477,5781889,2749908,12.06,5.74
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1215_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Adams,39.874325,-104.331872,2015,489774,5364214,19462442,10.95,39.74
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1216_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Adams,39.874325,-104.331872,2016,497419,4942140,44868387,9.94,90.2
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1217_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Adams,39.874325,-104.331872,2017,503375,11187391,62132216,22.22,123.43
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,0818_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Adams,39.874325,-104.331872,2018,,4109843,54098279,,
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1214_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Alamosa,37.568442,-105.788041,2014,15758,1,0,,
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1215_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Alamosa,37.568442,-105.788041,2015,15854,1,0,,
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1216_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Alamosa,37.568442,-105.788041,2016,16006,1,0,,
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1217_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Alamosa,37.568442,-105.788041,2017,16056,1,0,,
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,0818_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Alamosa,37.568442,-105.788041,2018,,1,0,,
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1214_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Arapahoe,39.644632,-104.331733,2014,617498,16861284,2221929,27.31,3.6
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1215_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Arapahoe,39.644632,-104.331733,2015,628951,19190919,49342266,30.51,78.45
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1216_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Arapahoe,39.644632,-104.331733,2016,637266,18337608,95552527,28.78,149.94
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1217_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Arapahoe,39.644632,-104.331733,2017,643257,12477526,111836427,19.4,173.86
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,0818_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Arapahoe,39.644632,-104.331733,2018,,6480453,78614787,,
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1214_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Archuleta,37.202395,-107.050863,2014,12240,1,1,,
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1215_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Archuleta,37.202395,-107.050863,2015,12401,1,1,,
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1216_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Archuleta,37.202395,-107.050863,2016,12839,1,1,,
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1217_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Archuleta,37.202395,-107.050863,2017,13316,1,6397398,,480.43
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,0818_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Archuleta,37.202395,-107.050863,2018,,1,5870625,,
,,Colorado,Baca,37.303144,-102.535457,2014,3576,0,0,,
,,Colorado,Baca,37.303144,-102.535457,2015,3544,0,0,,
,,Colorado,Baca,37.303144,-102.535457,2016,3522,0,0,,
,,Colorado,Baca,37.303144,-102.535457,2017,3539,0,0,,
,,Colorado,Baca,37.303144,-102.535457,2018,,0,0,,
,,Colorado,Bent,37.931891,-103.077584,2014,5777,0,0,,
,,Colorado,Bent,37.931891,-103.077584,2015,5885,0,0,,
,,Colorado,Bent,37.931891,-103.077584,2016,5664,0,0,,
,,Colorado,Bent,37.931891,-103.077584,2017,5866,0,0,,
,,Colorado,Bent,37.931891,-103.077584,2018,,0,0,,
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1214_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Boulder,40.094826,-105.398382,2014,312588,34337366,28598157,109.85,91.49
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1215_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Boulder,40.094826,-105.398382,2015,318071,31025531,51439943,97.54,161.72
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1216_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Boulder,40.094826,-105.398382,2016,321363,29000647,66407479,90.24,206.64
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,1217_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Boulder,40.094826,-105.398382,2017,322854,22484860,77438466,69.64,239.86
https://www.colorado.gov/pacific/revenue/colorado-marijuana-sales-reports,0818_MarijuanaSalesReport PUBLISH.xlsx,Colorado,Boulder,40.094826,-105.398382,2018,,12273809,58949359,,
